"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Lilongwe City Council","153","LCC/WDF/02/22/TIMBER BRIDGE","Construction of Timbe Bridge in Mtsiriza ward under ward development fund in lilongwe City centre constituency","completed","construction","Construction of timber Bridge in mtsiriza ward by Johaq construction","Ease movement of people and goods","2022-06-01","2022-07-31","MWK","4860265.00",""
"Lilongwe City Council","161","LCC/1/pw","construction of majiga box curvelt under constituency development fund in Area 23","completed","construction","Construction of Majiga box curvelt under constituency development fund in Area 23","the bridge is used by cars and people when crossing the river","2022-04-11","2022-07-10","MWK","14651000.00",""
"Mulanje District Council","197","MJDC-IPDC-21/22-W-1-GESD","Construction of Chimwamesi Bridge","implementation","construction","Construction of Chimwamesi Bridge","to ease mobility challenges","2021-12-21","2022-05-22","MWK","65000000.00",""
"Mulanje District Council","199","MJDC-IPDC-21/22-W-7-DDF","Construction of reticulated piped water system","completed","construction","Construction of reticulated piped water system","to improve portable water availability","2021-12-21","2022-04-20","MWK","30000000.00",""
"Directorate of Buildings (DoB)","208","07/2022","CONSTRUCTION OF CLINIC AND NON COMMUNICABLE DISEASES ANNEX","implementation","construction","Completing construction of Clinic which stalled over five years ago. There is an inclusion on a non-communicable disease centre annex which aims at providing gym services.  This project will allow civil servants to seek services within premises of their work place.","Providing a wellness center and gym facility to civil servants","2022-07-18","2023-01-23","MWK","970127330.14",""
"Directorate of Buildings (DoB)","209","08/2022","CONSTRUCTION OF GOVERNMENT OFFICES","implementation","construction","The construction of twenty-storey twin towers to accommodate MDA’s in secure and comfortable environment.","To provide working space for government  officers","2022-08-01","2027-08-31","MWK","20000000000.00",""
"Lilongwe City Council","227","LCC/1/pw","Drainage improvement at sese 24 ward","completed","construction","Drainage improvement at sese 24 ward","there was construction of drains and culverts to improve drainage system","2022-09-01","2023-11-30","MWK","5828550.00",""
"Lilongwe City Council","228","LCC/1/pw","Construction of footbridge at mosque in area 24","completed","construction","Construction of footbridge at mosque in area 24","Construction of footbridge at mosque in area 24","2023-02-23","2023-04-24","MWK","13525475.25",""
"Lilongwe District Council","271","LDC/GESD/2022-23/CB/04G-LOT2","Construction of a classroom block at Mwangu primary school","implementation","construction","construction of a 2 roomed classroom block","To reduce the pupil to classroom ratio","2023-01-13","2023-04-13","MWK","41500000.00",""
"Lilongwe District Council","272","LDC/GESD/2022-23/CB/04G - Lot 1","Construction of a Classroom block at Chiputu Primary School","implementation","construction","Construction of a 2 roomed classroom block","to reduce the pupil to classroom ratio","2023-01-13","2023-04-13","MWK","41500000.00",""
"Lilongwe City Council","277","LCC/CDF/2022-2023/MTANDIRE","Drainage improvement on Glorious Box culvert","completed","construction","Construction of drains and road improvement leading towards Glorious box culvert","Improvement of road infrastructure in the city","2023-02-27","2023-04-28","MWK","34752532.50",""
"Lilongwe District Council","281","LDC/GESD/2022-23/CB/04G-LOT3","Construction of a classroom block complete with furniture at Kamganga primary school","implementation","construction","construction of a classroom block complete with furniture at Kamganga primary school","To reduce the pupil to classroom ratio","2023-01-13","2023-04-13","MWK","42000000.00",""
"Dowa District Council","278","MW-DDC-316466-CW-RFB","Construction of Lingadzi Bridge","implementation","construction","Construction of  27m and 6m Concrete Deck Bridges","Construction of a bridge","2023-02-13","2023-05-13","MWK","62265658.90",""
"Dowa District Council","274","MW-DDC316277-CW-RFB","Construction of Dzoole Police Unit (Administration Block)","implementation","construction","Construction of Administration Block at Dzoole Police Unit","To provide housing to the Police Unit","2023-02-15","2023-06-14","MWK","70387617.74",""
"Lilongwe City Council","269","LCC/IPDC/07/22/LLCSW/CDF","CONSTRUCTION OF KAWALE MARKET SHED BENCHES IN LILONGWE CITY SOUTH WEST CONSTITUENCY UNDER CONSTITUENCY DEVELOPMENT FUND)","completed","construction","CONSTRUCTION OF VARIOUS PROJECTS (CONSTRUCTION OF MARKET SHED BENCHES) IN LILONGWE CITY SOUTH WEST CONSTITUENCY UNDER CONSTITUENCY DEVELOPMENT FUND)","Improvement of Market Infrastructure in the City","2023-01-11","2023-03-12","MWK","9910250.00",""
"Lilongwe City Council","268","LCC/WDF/0/22/CULVERTS/MVUNGUTI","INSTALLATION OF CULVERTS AT MVUNGUTI WARD UNDER WDF PROJECT","completed","construction","installation of culverts","infrastructure improvement in the city","2023-02-15","2023-04-16","MWK","7217100.00",""
"Dowa District Council","288","MW-DDC316277-CW-RFB","Construction of Chivala Police Unit (Administration Block)","implementation","construction","Construction of Administration Block at Chivala Police Unit","Construction of an Administration Block","2023-02-19","2023-06-18","MWK","84053611.00",""
"Dowa District Council","290","MW-DDC316466-CW-RFB","Construction of Nkhathwe Bridge","implementation","construction","Construction of a 10m Concrete Deck Bridge at Nkhathwe Bridge","Construction of a Bridge","2023-02-10","2023-06-09","MWK","30208771.75",""
"Dowa District Council","296","MW-DDC-316466-CW-RFB","Construction of Mtiti Bridge","implementation","construction","Construction of Mtiti Bridge (16m Concrete Deck Bridge)","Construction of  a Bridge","2023-02-27","2023-06-27","MWK","37274069.50",""
"Dowa District Council","298","MW-DDC-316466-CW-RFB","Completing of Madzo Maternity Wing","implementation","construction","Completing of Madzo Maternity Wing","Completing of Madzo Maternity Wing","2023-02-09","2023-05-05","MWK","45781396.25",""
"Dowa District Council","299","MW-DDC316466-CW-RFB","Construction of Umoyo Staff House","implementation","construction","Construction of Umoyo Staff House at Madzo Clinic","Construction of Umoyo Staff House","2023-02-09","2023-05-05","MWK","43352309.00",""
"Nkhatabay District Council","308","NB/DDF/2122/2","Makumbo U5 Clinic Staff House","completed","construction","Construction of Makumbo U5 Clinic Staff House in TA Zilakoma, Tukombo Ward, South Constituency","To provide accommodation for health workers","2021-07-01","2022-06-30","MWK","27699975.00",""
"M'mbelwa District Council","311","MDC/GESD/NJUYU/2022-23/002","Construction of Maternity Wing at Njuyu Health Centre","implementation","construction","The project involves construction of maternity wing, Placenta pit and Incinerator and provision of basic furniture","To improve maternal health","2023-02-13","2023-05-14","MWK","130346984.16",""
"Chitipa District Council","313","CPDC/01/11/22","Construction of Abattoir (Chitipa Boma)","completion","construction","The project will involve the construction of a  structure that has a slaughter area with benches, meat hangers, benches, and drainage lines.","The purpose of this project is to provide a conducive, hygienic slaughter environment that promotes good general public health.","2022-11-29","2023-03-10","MWK","39550072.00",""
"M'mbelwa District Council","318","MDC/GESD/KANJUCHI/2022-23/003","Construction of Kanjuchi police Unit","implementation","construction","The project involves construction of police unit block ,toilets and provision of basic furniture","To improve security services, law and order","2023-02-19","2023-05-20","MWK","63035278.09",""
"M'mbelwa District Council","310","MDC/GESD/KAMWE/2022/23/001","Construction of staff house at Kamwe Health Centre","implementation","construction","Construction of a staff house, toilet, electricity and water connection.","To provide a conducive working environment  for health workers.","2023-02-19","2023-05-20","MWK","36182190.21",""
"Nkhatabay District Council","322","NB/DDF/2122/3","Nkhwali Clinic","completed","construction","Construction of Nkhwali Clinic","To provide health services tp the citizens of nkhatabay","2021-12-28","2022-04-26","MWK","45510896.75",""
"Chitipa District Council","324","CPDC/19/01/23","Construction of Chitipa Bus Depot (First Phase)","implementation","construction","The project will include the construction of a fence, gate, and guard room and the renovation of the old market shed into a depot shed","The project will provide a conducive environment for people to board buses and provides security to passengers and their goods","2023-01-19","2023-05-30","MWK","40000000.00",""
"Nkhatabay District Council","325","NB/DDF/2122/4","Mzenga CDSS Boys Hostel","completed","construction","Construction of a boys hostel at mzenga CDSS, TA Kabunduli","To provide accomodation for students to enable a conducive learning environment","2021-12-28","2022-06-30","MWK","63415112.25",""
"Chitipa District Council","326","CPDC/29/11/22","Construction of Kameme EPA Office","implementation","construction","The project  will construct an office block for agricultural extension workers and provision of furniture","The project aims at improving the provision of agricultural extension services in the Kameme area as the extension workers will have offices within the area. This in turn is anticipated to improve agricultural production and improve household income for the farming family households.","2022-11-29","2023-02-28","MWK","63398306.00",""
"Chitipa District Council","327","CPDC/29/11/23","Construction of Girl's Hostel at Namatubi CDSS","implementation","construction","The project will involve the construction of the girls' hostels with 80 beds,  with an attached ablution block.","The project aims at promoting the education of the girl child as it will help to eliminate numerous challenges (sexual harassment, rape, etc) the girl child goes through when they travel long distances.","2022-11-29","2023-03-10","MWK","65686960.00",""
"Directorate of Buildings (DoB)","330","IPDC/2022/2023/01 REGIONAL 5 GAMES","Expansion and maintenance of landscape works at civo stadium- Lilongwe","completion","expansion","Expansion and maintenance","to improve and provide an attractive ambience of the stadium","2022-08-15","2022-10-19","MWK","59698214.40",""
"Directorate of Buildings (DoB)","306","DADC/MLG/CNGCSA/W/2021-2022","Completion of social amenities( community ground, hall, library and bus depot)","completion","construction","construct, hall library and bus depot and its associated works","to improve the social well being of individuals at Nambuma growth center","2022-03-04","2022-10-21","MWK","618353349.71",""
